"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"291",652331,749,0,1,1,1,0,1,1,1,0
"292",652332,750,1,1,1,0,1,1,1,1,0
"293",652348,750,0,1,0,1,1,0,0,0,1
"294",652368,750,1,1,0,1,1,1,1,1,0
"295",652371,750,0,1,0,0,0,1,1,0,0
"296",652374,750,0,0,1,0,0,0,1,1,0
"297",652390,750,0,0,1,0,0,1,0,1,0
"298",652410,749,0,0,0,1,0,0,1,0,0
"299",652470,749,0,1,0,1,0,0,1,0,0
"300",652474,770,1,0,1,0,0,0,1,0,0
"301",652480,752,0,1,1,0,0,0,0,0,0
"302",652481,750,0,1,0,0,1,1,1,1,0
"303",652491,749,1,0,1,0,0,1,0,0,0
"304",652502,752,1,1,1,0,1,1,1,0,0
"305",652503,749,1,1,0,1,0,1,0,0,0
"306",652504,749,1,1,0,1,1,0,1,0,0
"307",652540,750,0,0,0,1,1,0,1,1,0
"308",652614,750,1,0,1,1,0,1,1,1,1
"309",652620,749,1,0,1,0,0,1,1,0,0
"310",652621,749,1,1,1,0,0,1,1,0,0
"311",652649,749,1,0,1,1,1,1,1,0,0
"312",652706,749,0,1,1,1,1,1,1,0,0
"313",652712,750,1,0,1,1,1,1,1,0,0
"314",652835,752,0,1,1,0,1,1,1,0,0
"315",652862,749,0,0,1,0,0,0,1,0,0
"316",652946,749,1,0,0,0,0,1,1,0,0
"317",652977,749,1,1,1,0,1,1,1,0,0
"318",653189,749,1,0,1,0,0,1,1,0,0
"319",653309,749,1,1,0,0,1,1,0,0,0
"320",653367,749,1,0,1,0,0,1,1,0,0
"321",653411,749,0,0,1,1,0,1,1,0,0
"322",653733,749,1,1,1,1,0,0,1,0,0
"323",653803,749,1,1,1,0,0,1,1,0,0
"324",653869,749,1,1,1,0,0,0,1,0,0
"325",653929,749,1,1,0,1,1,0,1,0,0
"326",653941,749,0,0,1,0,0,0,0,0,0
"327",654045,749,1,0,0,1,1,1,1,0,0
"328",654057,751,1,0,1,1,1,0,1,0,0
"329",654102,750,1,0,1,1,0,0,1,1,0
"330",654122,749,1,1,1,0,1,1,1,0,0
"331",654126,749,1,0,1,1,1,1,0,0,0
"332",654130,750,1,1,1,0,1,0,1,1,0
"333",654135,0,0,0,0,0,0,0,1,1,0
"334",654136,750,0,0,0,1,1,0,1,1,0
"335",654185,750,1,1,1,0,1,1,1,0,0
"336",654239,749,1,0,0,1,1,1,0,0,0
"337",654252,751,1,0,1,0,1,1,1,0,0
"338",654255,749,1,1,1,1,0,1,1,0,0
"339",654258,750,1,1,0,1,1,0,1,0,1
"340",654297,749,0,1,0,0,1,0,0,0,0
"341",654315,749,0,0,0,0,0,0,0,0,0
"342",654336,749,0,0,1,0,1,1,1,0,1
"343",654419,749,1,1,1,0,0,1,1,0,0
"344",654423,750,1,1,1,0,0,0,0,0,0
"345",654512,750,0,1,0,0,0,0,0,0,0
"346",654549,750,0,0,0,0,1,0,0,1,1
"347",654589,749,1,1,1,1,0,1,0,1,1
"348",654631,749,1,0,1,0,0,0,1,0,0
"349",654644,750,1,1,1,1,1,1,0,1,1
"350",654692,750,1,0,1,0,0,1,0,1,0
"351",655079,750,1,1,1,0,1,0,1,0,0
"352",655215,749,1,0,0,1,0,1,1,1,0
"353",655238,750,1,1,1,0,1,0,1,1,0
"354",655284,749,0,0,1,0,0,1,1,0,0
"355",655334,750,1,1,0,0,1,0,1,0,0
"356",655341,750,1,1,1,1,1,0,1,1,0
"357",655428,749,1,1,0,1,1,0,1,0,0
"358",655451,750,1,0,1,1,1,0,1,1,1
"359",655456,0,1,0,1,0,0,0,0,0,0
"360",655607,749,0,0,1,0,1,0,0,0,0
"361",655703,749,1,0,0,0,0,0,0,0,0
"362",655712,750,0,1,1,1,1,0,1,0,1
"363",655725,749,0,1,0,0,0,1,1,0,0
"364",655786,749,0,1,1,0,0,1,1,0,0
"365",656299,749,0,0,0,0,0,0,1,1,0
"366",656303,750,1,1,1,1,1,0,0,0,0
"367",656307,749,1,1,0,0,1,1,1,0,0
"368",656308,749,1,0,0,0,0,0,1,0,1
"369",656337,751,0,1,1,0,0,0,1,0,0
"370",656373,749,1,1,1,1,1,1,1,0,1
"371",656382,749,1,1,1,1,1,1,1,0,0
"372",656388,749,0,0,1,0,0,0,1,0,0
"373",656501,770,1,1,1,1,0,0,1,0,0
"374",656527,749,0,0,0,0,0,1,1,0,0
"375",656756,750,0,0,0,0,1,0,1,1,0
"376",656890,749,1,0,0,0,0,1,0,0,0
"377",657087,750,1,1,0,1,0,0,1,0,0
"378",657365,749,0,0,1,1,1,1,0,0,0
"379",657383,752,1,0,0,0,0,0,1,0,0
"380",657407,750,1,1,1,1,1,1,0,1,0
"381",657479,750,1,0,1,0,1,1,0,1,0
"382",657542,749,1,0,1,0,1,0,1,0,0
"383",657644,750,0,1,1,0,0,1,1,0,1
"384",657666,750,0,1,0,0,1,0,1,1,0
"385",657747,749,1,0,1,1,1,0,1,0,0
"386",657903,0,1,0,1,0,0,0,0,1,0
"387",658077,754,0,1,1,1,1,1,1,0,0
"388",658098,750,1,0,1,1,1,1,1,0,0
"389",658176,749,1,0,1,0,0,1,1,0,0
"390",658191,749,0,1,1,1,1,1,1,1,0
"391",658267,750,1,0,0,0,1,0,1,0,0
"392",658352,749,1,0,0,1,1,1,1,0,0
"393",658363,749,1,1,0,0,0,1,1,0,0
"394",658527,0,0,0,0,0,0,0,0,1,1
"395",658600,749,1,0,0,0,0,1,1,0,0
"396",658719,749,1,0,0,1,1,1,1,0,0
"397",658736,749,1,1,0,0,0,1,1,0,0
"398",658749,750,1,0,1,0,0,1,1,1,1
"399",658811,750,1,0,1,0,0,0,1,0,0
"400",658871,750,1,1,1,0,0,1,1,0,0
"401",659143,749,1,1,1,1,0,1,1,0,0
"402",659158,749,1,0,1,1,1,1,1,0,0
"403",659255,749,0,1,0,0,0,0,1,0,0
"404",659273,750,1,0,0,0,1,1,1,0,1
"405",659316,749,1,1,1,0,1,1,1,0,0
"406",659340,749,1,0,0,1,1,1,1,0,0
"407",659444,749,0,1,1,1,1,0,1,0,0
"408",659569,749,0,0,0,0,0,0,0,0,0
"409",659577,749,1,0,0,1,1,1,1,0,0
"410",659662,750,1,1,1,1,0,0,1,0,0
"411",659871,750,1,0,0,0,0,1,1,1,0
"412",659969,750,1,0,1,1,0,1,1,1,0
"413",660157,749,1,0,0,1,1,1,0,0,0
"414",660276,749,1,1,1,0,1,1,1,0,0
"415",660286,749,1,1,1,0,0,1,1,0,0
"416",660289,750,0,0,0,1,1,1,0,1,1
"417",660298,749,0,1,0,0,1,1,1,0,0
"418",660336,749,1,1,1,0,0,1,1,0,0
"419",660352,750,1,1,1,0,0,0,1,1,1
"420",660359,750,1,0,0,1,1,1,1,1,0
"421",660388,750,1,0,1,0,1,1,1,1,0
"422",660401,750,1,1,1,0,1,1,1,1,1
"423",660411,750,0,0,0,1,0,0,1,1,1
"424",660412,750,0,0,0,1,0,0,1,1,0
"425",660620,749,0,0,1,0,0,1,1,0,0
"426",660654,749,1,1,1,0,0,1,0,0,0
"427",660792,749,0,0,1,0,0,0,0,1,0
"428",660970,0,0,0,1,1,0,0,1,1,1
